batter,season,oaa
134181,2018,2
643217,2018,2
605141,2018,11
453568,2018,-10
593428,2018,-2
623520,2018,4
571506,2018,-5
598265,2018,13
488726,2018,-3
460075,2018,-3
608324,2018,0
621446,2018,-1
457803,2018,-6
592178,2018,-3
595879,2018,7
452678,2018,8
456715,2018,19
594777,2018,1
622666,2018,5
600869,2018,1
592192,2018,-2
429664,2018,2
572761,2018,-9
592206,2018,-23
516770,2018,6
595909,2018,1
656305,2018,6
624424,2018,5
621043,2018,23
446359,2018,-11
543063,2018,10
518586,2018,-2
448801,2018,2
657557,2018,-9
592261,2018,11
518614,2018,-15
435622,2018,-5
646240,2018,-3
572816,2018,8
518618,2018,-12
594694,2018,3
572821,2018,-12
641531,2018,-12
622110,2018,-2
594807,2018,8
649557,2018,-2
594809,2018,-4
641553,2018,16
444876,2018,-9
500871,2018,-1
664058,2018,8
527038,2018,2
523253,2018,-2
596748,2018,-5
624428,2018,1
453943,2018,5
518692,2018,3
501896,2018,-3
608336,2018,2
520471,2018,9
541645,2018,4
544725,2018,3
458731,2018,2
571697,2018,-5
502671,2018,-4
503556,2018,1
471865,2018,1
592348,2018,0
460086,2018,1
544369,2018,-10
545341,2018,7
666971,2018,-5
493329,2018,1
608597,2018,3
576397,2018,-2
460576,2018,3
571740,2018,16
571745,2018,-3
593700,2018,-4
664023,2018,-8
547180,2018,-14
543281,2018,-3
592387,2018,-7
588751,2018,3
628338,2018,7
514917,2018,-5
571771,2018,1
491676,2018,1
606192,2018,-8
546318,2018,-1
594011,2018,1
518792,2018,2
543305,2018,-4
571788,2018,3
656555,2018,-16
543333,2018,-10
578428,2018,0
542255,2018,19
457706,2018,-3
608671,2018,10
445055,2018,-4
430945,2018,-14
592444,2018,6
592450,2018,1
461314,2018,-5
643393,2018,0
596146,2018,9
595281,2018,7
643396,2018,11
664068,2018,-4
435079,2018,3
543401,2018,-5
518934,2018,14
596019,2018,21
446334,2018,-6
476704,2018,10
553988,2018,-3
592518,2018,6
641820,2018,-7
622534,2018,11
455976,2018,2
606466,2018,7
516782,2018,8
547982,2018,2
500874,2018,-12
408045,2018,2
457727,2018,3
608577,2018,-8
457705,2018,-10
643446,2018,3
474568,2018,11
593160,2018,4
660162,2018,-18
609275,2018,7
592567,2018,-9
519048,2018,1
519058,2018,-4
571970,2018,-10
502517,2018,-12
622168,2018,-17
571976,2018,-4
607043,2018,5
456488,2018,-5
600524,2018,-9
596059,2018,9
621566,2018,5
542303,2018,-1
605412,2018,3
467827,2018,-3
592626,2018,-9
444482,2018,-1
606299,2018,7
607054,2018,-2
502054,2018,0
607680,2018,0
640461,2018,6
517369,2018,3
572039,2018,-2
570256,2018,-3
593871,2018,-3
572041,2018,6
595777,2018,-15
624577,2018,-4
541650,2018,2
608070,2018,4
502210,2018,8
543685,2018,4
592669,2018,-2
595375,2018,14
519203,2018,6
621002,2018,3
500135,2018,0
500743,2018,14
642708,2018,-17
592696,2018,-1
608365,2018,17
467793,2018,7
593934,2018,-4
594988,2018,0
570731,2018,7
656941,2018,-7
572122,2018,-5
516416,2018,3
543760,2018,1
543768,2018,5
592743,2018,14
605480,2018,-1
475253,2018,5
500208,2018,0
665742,2018,-5
452655,2018,-5
605486,2018,2
543807,2018,0
596115,2018,-6
543829,2018,-7
553993,2018,0
621020,2018,7
570560,2018,8
621035,2018,6
572191,2018,8
650402,2018,-7
581527,2018,-17
545361,2018,5
457759,2018,-1
607208,2018,12
457708,2018,-7
472528,2018,-1
502143,2018,-6
570799,2018,1
542340,2018,0
458015,2018,-2
435522,2018,-8
621563,2018,5
608384,2018,-6
543939,2018,6
592885,2018,2
450314,2018,0
547989,2019,-7
660670,2019,0
642715,2019,8
